iteration,soft_bcd,bcd
1,0.0007774732439823406,0.0007774732439823406
2,0.00034282909060377416,0.0003494791189153355
3,0.00033175967776869267,0.0003440105529663185
4,0.000332284301962884,0.0003440105529663185
5,0.00033506569766110066,0.0003440105529663185
6,0.0003284083624743261,0.0003440105529663185
7,0.00032861561243162206,0.0003440105529663185
8,0.0003283517210942047,0.0003440105529663185
9,0.00032806244882339046,0.0003440105529663185
10,0.00033728949265213355,0.0003440105529663185
11,0.0003290219740691752,0.0003440105529663185
12,0.00032814539016378334,0.0003440105529663185
13,0.0003300249388567335,0.0003440105529663185
14,0.00033331591522809474,0.0003440105529663185
15,0.0003329803661005184,0.0003440105529663185
16,0.0003289397519656439,0.0003440105529663185
17,0.00032972253761779697,0.0003440105529663185
18,0.0003365577293808913,0.0003440105529663185
19,0.0003300636452509138,0.0003440105529663185
20,0.000337489607457601,0.0003440105529663185
21,0.00032951909797104,0.0003440105529663185
22,0.0003312929506228977,0.0003440105529663185
23,0.0003291478102318479,0.0003440105529663185
24,0.00032811147167098077,0.0003440105529663185
25,0.0003284064947662614,0.0003440105529663185
26,0.00032950610175899145,0.0003440105529663185
27,0.0003376478321416984,0.0003440105529663185
28,0.0003339128870516636,0.0003440105529663185
29,0.000339628559787585,0.0003440105529663185
30,0.0003288699688308281,0.0003440105529663185
31,0.00033415792023750834,0.0003440105529663185
32,0.0003361064794451933,0.0003440105529663185
33,0.0003284242016724771,0.0003440105529663185
34,0.00033441938768654256,0.0003440105529663185
35,0.00033367147222208415,0.0003440105529663185
36,0.00033376947386052746,0.0003440105529663185
37,0.0003313999310436743,0.0003440105529663185
38,0.0003334284485189426,0.0003440105529663185
39,0.0003336752813683293,0.0003440105529663185
40,0.00032827164935066887,0.0003440105529663185
41,0.0003349401057849208,0.0003440105529663185
42,0.00033414905115407447,0.0003440105529663185
43,0.00033168807132721737,0.0003440105529663185
44,0.0003334953067289683,0.0003440105529663185
45,0.000329928590067092,0.0003440105529663185
46,0.00032892846549671743,0.0003440105529663185
47,0.0003290776224109309,0.0003440105529663185
48,0.00032802666553755625,0.0003440105529663185
49,0.0003285974546557028,0.0003440105529663185
50,0.00033147420035259037,0.0003440105529663185
