iteration,soft_bcd,bcd
1,0.0007526512162499566,0.0007526512162499566
2,0.0003375220182928282,0.00033843817995045356
3,0.0003310232202585695,0.00033312915385329435
4,0.00032043588294342626,0.00033312915385329435
5,0.0003245741289224425,0.00033312915385329435
6,0.0003265324756584701,0.00033312915385329435
7,0.00031761125765173613,0.00033312915385329435
8,0.0003005322717675463,0.00033312915385329435
9,0.00032808676718741364,0.00033312915385329435
10,0.00031838202440485317,0.00033312915385329435
11,0.00031828843572791454,0.00033312915385329435
12,0.0003240092994707816,0.00033312915385329435
13,0.00031866899203459567,0.00033312915385329435
14,0.00031844825408278957,0.00033312915385329435
15,0.00031888232413282983,0.00033312915385329435
16,0.0003176912053496048,0.00033312915385329435
17,0.00030666063397767943,0.00033312915385329435
18,0.00032256994018389025,0.00033312915385329435
19,0.0003242119662151308,0.00033312915385329435
20,0.00031943730416961023,0.00033312915385329435
21,0.0003276730771926716,0.00033312915385329435
22,0.0003246946408520847,0.00033312915385329435
23,0.00032885047433792717,0.00033312915385329435
24,0.000322967325040442,0.00033312915385329435
25,0.0003215905275762865,0.00033312915385329435
26,0.00031924277308954254,0.00033312915385329435
27,0.00030544193501725686,0.00033312915385329435
28,0.0003214715652617543,0.00033312915385329435
29,0.00031767924040271306,0.00033312915385329435
30,0.0003227955305628249,0.00033312915385329435
31,0.0003199605016417404,0.00033312915385329435
32,0.00032022613895915994,0.00033312915385329435
33,0.0003197157031316029,0.00033312915385329435
34,0.0003249402926775242,0.00033312915385329435
35,0.00032215118748467455,0.00033312915385329435
36,0.00031758271365338905,0.00033312915385329435
37,0.0003243919824659558,0.00033312915385329435
38,0.000326844366311307,0.00033312915385329435
39,0.0003197353293564162,0.00033312915385329435
40,0.0003002618527204325,0.00033312915385329435
41,0.00032607421968377707,0.00033312915385329435
42,0.0003176235470827785,0.00033312915385329435
43,0.0003250089356843288,0.00033312915385329435
44,0.00031763287765366663,0.00033312915385329435
45,0.00032885852625633925,0.00033312915385329435
46,0.0003205967148790046,0.00033312915385329435
47,0.00031992249756901414,0.00033312915385329435
48,0.00032577092246463194,0.00033312915385329435
49,0.0003241935861653401,0.00033312915385329435
50,0.0003176598941736473,0.00033312915385329435
